,published_year,type,num_objects,num_dois,num_non_dois,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_countrycode,objects_has_affiliations_grid,objects_has_affiliations_ror,objects_has_affiliations_sourceid,objects_has_affiliations_string,objects_has_authors,objects_has_authors_orcid,objects_has_authors_sequence,objects_has_authors_sourceid,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_fields_mag,objects_has_references,objects_has_venue,objects_has_venue_issn,objects_has_venue_issnl,objects_has_venue_sourceid,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_countrycode,dois_has_affiliations_grid,dois_has_affiliations_ror,dois_has_affiliations_sourceid,dois_has_affiliations_string,dois_has_authors,dois_has_authors_orcid,dois_has_authors_sequence,dois_has_authors_sourceid,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_fields_mag,dois_has_references,dois_has_venue,dois_has_venue_issn,dois_has_venue_issnl,dois_has_venue_sourceid,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_countrycode,non_dois_has_affiliations_grid,non_dois_has_affiliations_ror,non_dois_has_affiliations_sourceid,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_orcid,non_dois_has_authors_sequence,non_dois_has_authors_sourceid,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_fields_mag,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_issn,non_dois_has_venue_issnl,non_dois_has_venue_sourceid,non_dois_has_venue_string
34,2018.0,BookChapter,197830,178116,19714,27619,22443,22465,22026,22004,22480,22443,22480,15138,22480,22480,22480,29845,127311,127311,42726,0,0,0,0,0,22488,22083,22103,21669,21649,22118,22083,22118,14905,22118,22118,22118,28312,116468,116468,41964,0,0,0,0,0,5131,360,362,357,355,362,360,362,233,362,362,362,1533,10843,10843,762,0,0,0,0,0
35,2018.0,Conference,255356,235478,19878,225382,192653,223878,219260,219045,224378,192653,224378,165159,224378,224378,224378,156573,249677,249677,204544,0,0,0,0,0,215495,187414,207448,202953,202753,207897,187414,207897,153004,207897,207897,207897,145624,230904,230904,197449,0,0,0,0,0,9887,5239,16430,16307,16292,16481,5239,16481,12155,16481,16481,16481,10949,18773,18773,7095,0,0,0,0,0
36,2018.0,Dataset,22195,6262,15933,12444,42,42,42,42,42,42,42,38,42,42,42,1044,19698,19698,98,0,0,0,0,0,1737,41,41,41,41,41,41,41,37,41,41,41,394,5633,5633,16,0,0,0,0,0,10707,1,1,1,1,1,1,1,1,1,1,1,650,14065,14065,82,0,0,0,0,0
37,2018.0,Journal,3091868,2801317,290551,2160772,2047412,2057691,2033515,2031642,2060010,2047412,2060010,1711721,2060010,2060010,2060010,1986519,2910931,2910931,1939783,3091868,2657405,2830906,3091868,3091868,2041178,1982232,1992481,1970477,1968661,1994563,1982232,1994563,1675527,1994563,1994563,1994563,1935614,2668467,2668467,1913726,2801317,2539243,2602898,2801317,2801317,119594,65180,65210,63038,62981,65447,65180,65447,36194,65447,65447,65447,50905,242464,242464,26057,290551,118162,228008,290551,290551
38,2018.0,Repository,248126,95545,152581,222081,124544,128422,126776,126673,128613,124544,128613,98010,128613,128613,128613,91181,240094,240094,134268,220846,2110,4753,220846,220846,85325,69083,69462,68721,68676,69522,69083,69522,56700,69522,69522,69522,38443,94252,94252,61689,87039,428,813,87039,87039,136756,55461,58960,58055,57997,59091,55461,59091,41310,59091,59091,59091,52738,145842,145842,72579,133807,1682,3940,133807,133807
39,2018.0,Thesis,465733,21207,444526,244056,1395,1357,1303,1297,1395,1395,1395,346,1395,1395,1395,17262,244428,244428,20632,0,0,0,0,0,6123,176,176,173,173,176,176,176,93,176,176,176,2299,15715,15715,1962,0,0,0,0,0,237933,1219,1181,1130,1124,1219,1219,1219,253,1219,1219,1219,14963,228713,228713,18670,0,0,0,0,0
40,2017.0,,3975689,1295598,2680091,1431596,596253,595323,580285,579363,597917,596253,597917,291029,597917,597917,597917,467290,2333276,2333276,503380,0,0,0,0,0,636090,404216,403723,394007,393468,405303,404216,405303,216393,405303,405303,405303,339166,924847,924847,412195,0,0,0,0,0,795506,192037,191600,186278,185895,192614,192037,192614,74636,192614,192614,192614,128124,1408429,1408429,91185,0,0,0,0,0
41,2017.0,Book,102760,23165,79595,24769,5579,5597,5453,5438,5602,5579,5602,2343,5602,5602,5602,36615,69042,69042,3813,0,0,0,0,0,3834,1292,1294,1256,1254,1295,1292,1295,660,1295,1295,1295,12222,15106,15106,1099,0,0,0,0,0,20935,4287,4303,4197,4184,4307,4287,4307,1683,4307,4307,4307,24393,53936,53936,2714,0,0,0,0,0
42,2017.0,BookChapter,215936,193174,22762,32225,21863,21846,21410,21385,21896,21863,21896,13869,21896,21896,21896,33733,139647,139647,45634,0,0,0,0,0,26147,21338,21320,20892,20867,21370,21338,21370,13555,21370,21370,21370,31404,126532,126532,44559,0,0,0,0,0,6078,525,526,518,518,526,525,526,314,526,526,526,2329,13115,13115,1075,0,0,0,0,0
43,2017.0,Conference,251322,236339,14983,224537,189369,220757,215892,215599,221162,189369,221162,162148,221162,221162,221162,164868,245198,245198,212168,0,0,0,0,0,217517,185546,208836,204114,203835,209223,185546,209223,153436,209223,209223,209223,157331,231758,231758,207574,0,0,0,0,0,7020,3823,11921,11778,11764,11939,3823,11939,8712,11939,11939,11939,7537,13440,13440,4594,0,0,0,0,0
44,2017.0,Dataset,19041,8186,10855,9930,16,16,16,16,16,16,16,14,16,16,16,996,17724,17724,58,0,0,0,0,0,2460,15,15,15,15,15,15,15,13,15,15,15,548,7567,7567,10,0,0,0,0,0,7470,1,1,1,1,1,1,1,1,1,1,1,448,10157,10157,48,0,0,0,0,0
45,2017.0,Journal,3328811,2907410,421401,2331519,2115817,2131022,2104383,2102329,2133440,2115817,2133440,1730959,2133440,2133440,2133440,2146968,3096992,3096992,2096018,3328811,2831552,3021709,3328811,3328811,2181315,2036799,2051943,2027798,2025825,2054085,2036799,2054085,1688673,2054085,2054085,2054085,2073051,2784617,2784617,2063295,2907410,2632917,2695108,2907410,2907410,150204,79018,79079,76585,76504,79355,79018,79355,42286,79355,79355,79355,73917,312375,312375,32723,421401,198635,326601,421401,421401
46,2017.0,Repository,228029,81333,146696,203572,107879,111296,109813,109746,111467,107879,111467,79442,111467,111467,111467,82679,219688,219688,112198,201708,2301,5399,201708,201708,73255,57964,58222,57524,57497,58262,57964,58262,44404,58262,58262,58262,34740,80225,80225,51669,76552,449,942,76552,76552,130317,49915,53074,52289,52249,53205,49915,53205,35038,53205,53205,53205,47939,139463,139463,60529,125156,1852,4457,125156,125156
47,2017.0,Thesis,472081,22985,449096,253405,1478,1453,1404,1394,1478,1478,1478,323,1478,1478,1478,23257,240326,240326,23237,0,0,0,0,0,8760,131,131,129,129,131,131,131,52,131,131,131,3004,18060,18060,2333,0,0,0,0,0,244645,1347,1322,1275,1265,1347,1347,1347,271,1347,1347,1347,20253,222266,222266,20904,0,0,0,0,0
48,2016.0,,4644384,1073424,3570960,1678011,534528,533948,520580,519801,536435,534528,536435,250035,536435,536435,536435,466326,2628885,2628885,595767,0,0,0,0,0,548905,332416,332438,324581,324143,333662,332416,333662,173125,333662,333662,333662,287600,765604,765604,357472,0,0,0,0,0,1129106,202112,201510,195999,195658,202773,202112,202773,76910,202773,202773,202773,178726,1863281,1863281,238295,0,0,0,0,0
49,2016.0,Book,94795,21831,72964,27119,5082,5097,4964,4945,5106,5082,5106,2203,5106,5106,5106,36723,62435,62435,4067,0,0,0,0,0,4121,1316,1320,1294,1290,1322,1316,1322,683,1322,1322,1322,12657,14380,14380,1289,0,0,0,0,0,22998,3766,3777,3670,3655,3784,3766,3784,1520,3784,3784,3784,24066,48055,48055,2778,0,0,0,0,0
50,2016.0,BookChapter,189888,169032,20856,30083,19319,19306,18907,18884,19352,19319,19352,12051,19352,19352,19352,32126,115635,115635,37221,0,0,0,0,0,24389,18697,18684,18298,18275,18730,18697,18730,11698,18730,18730,18730,29517,104161,104161,36100,0,0,0,0,0,5694,622,622,609,609,622,622,622,353,622,622,622,2609,11474,11474,1121,0,0,0,0,0
51,2016.0,Conference,258437,237306,21131,234507,200279,227849,222224,221915,228354,200279,228354,164625,228354,228354,228354,178837,254480,254480,229036,0,0,0,0,0,221842,191610,210312,204945,204661,210800,191610,210800,152162,210800,210800,210800,167194,234929,234929,218894,0,0,0,0,0,12665,8669,17537,17279,17254,17554,8669,17554,12463,17554,17554,17554,11643,19551,19551,10142,0,0,0,0,0
52,2016.0,Dataset,9616,4721,4895,3985,32,32,29,29,32,32,32,27,32,32,32,625,8747,8747,23,0,0,0,0,0,1136,29,29,28,28,29,29,29,26,29,29,29,391,4485,4485,10,0,0,0,0,0,2849,3,3,1,1,3,3,3,1,3,3,3,234,4262,4262,13,0,0,0,0,0
