,published_year,type,num_objects,num_dois,num_non_dois,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_id_ror,objects_has_affiliations_string,objects_has_authors,objects_has_authors_id_orcid,objects_has_authors_sequence,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_references,objects_has_venue,objects_has_venue_id_issn,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_id_ror,dois_has_affiliations_string,dois_has_authors,dois_has_authors_id_orcid,dois_has_authors_sequence,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_references,dois_has_venue,dois_has_venue_id_issn,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_id_ror,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_id_orcid,non_dois_has_authors_sequence,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_id_issn,non_dois_has_venue_string
62,2038,book-chapter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2038,journal-article,3,3,0,0,0,0,0,3,0,3,3,3,3,3,3,3,3,0,0,0,0,3,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2037,book-chapter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2036,book-chapter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2035,book-chapter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2034,book-chapter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2033,book-chapter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2032,book-chapter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2032,journal-article,204,204,0,0,0,0,0,0,0,0,0,0,138,0,204,204,204,0,0,0,0,0,0,0,0,0,138,0,204,204,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2031,book-chapter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2031,journal-article,36,36,0,2,0,0,0,36,0,36,36,1,34,0,36,36,36,2,0,0,0,36,0,36,36,1,34,0,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2030,book-chapter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2030,journal-article,7,7,0,0,0,0,0,7,0,7,7,0,7,5,7,7,7,0,0,0,0,7,0,7,7,0,7,5,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2030,proceedings-article,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2029,book-chapter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2029,journal-article,12,12,0,11,0,0,0,5,1,5,5,2,9,6,12,12,12,11,0,0,0,5,1,5,5,2,9,6,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2029,journal-issue,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2028,book-chapter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2028,journal-article,3,3,0,2,0,0,0,3,0,3,3,1,2,0,3,3,3,2,0,0,0,3,0,3,3,1,2,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2028,monograph,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2027,book-chapter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2027,journal-article,2,2,0,2,0,0,0,2,0,2,2,1,1,0,2,2,2,2,0,0,0,2,0,2,2,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2026,book-chapter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2026,journal-article,3,3,0,2,0,0,0,3,1,3,3,0,2,1,3,3,3,2,0,0,0,3,1,3,3,0,2,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2025,book-chapter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2025,dataset,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2025,journal-article,49,49,0,3,0,0,0,49,0,49,49,1,30,11,49,49,49,3,0,0,0,49,0,49,49,1,30,11,49,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2024,book,6,6,0,0,2,0,2,5,0,5,5,0,0,0,0,0,0,0,2,0,2,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2024,book-chapter,103,103,0,10,0,0,0,56,0,56,56,0,0,16,103,0,103,10,0,0,0,56,0,56,56,0,0,16,103,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2024,book-section,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2024,edited-book,10,10,0,0,0,0,0,8,0,8,8,0,0,0,0,0,0,0,0,0,0,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2024,grant,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2024,journal-article,799,799,0,309,325,0,325,794,328,794,794,104,686,339,799,799,799,309,325,0,325,794,328,794,794,104,686,339,799,799,799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2024,journal-issue,2,2,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2024,monograph,18,18,0,0,2,0,2,17,0,17,17,0,0,0,1,1,1,0,2,0,2,17,0,17,17,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2024,other,9,9,0,0,0,0,0,0,0,0,0,0,0,2,9,0,9,0,0,0,0,0,0,0,0,0,0,2,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2023,book,1600,1600,0,31,14,0,14,629,59,630,629,36,0,0,811,811,811,31,14,0,14,629,59,630,629,36,0,0,811,811,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2023,book-chapter,20870,20870,0,2005,338,0,338,13619,370,13619,13619,142,0,9132,20870,431,20870,2005,338,0,338,13619,370,13619,13619,142,0,9132,20870,431,20870,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2023,book-part,39,39,0,0,0,0,0,0,0,0,0,0,0,0,39,0,39,0,0,0,0,0,0,0,0,0,0,0,39,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2023,book-section,139,139,0,0,0,0,0,32,0,32,32,0,0,53,139,0,139,0,0,0,0,32,0,32,32,0,0,53,139,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2023,dataset,12,12,0,0,0,0,0,0,0,7,0,0,0,0,12,0,12,0,0,0,0,0,0,7,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2023,edited-book,528,528,0,99,4,0,4,79,1,99,79,4,0,2,48,43,48,99,4,0,4,79,1,99,79,4,0,2,48,43,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2023,grant,2020,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2023,journal-article,128873,128873,0,10356,12464,85,12464,125004,54642,125031,125004,10360,125860,111027,128873,128728,128873,10356,12464,85,12464,125004,54642,125031,125004,10360,125860,111027,128873,128728,128873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2023,journal-issue,907,907,0,0,0,0,0,0,0,0,0,0,825,0,907,903,907,0,0,0,0,0,0,0,0,0,825,0,907,903,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2023,monograph,706,706,0,179,28,0,28,515,14,515,515,12,0,0,14,14,14,179,28,0,28,515,14,515,515,12,0,0,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,2023,other,455,455,0,0,0,0,0,48,0,48,48,0,0,82,455,0,455,0,0,0,0,48,0,48,48,0,0,82,455,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2023,posted-content,25,25,0,7,18,0,18,25,5,25,25,0,0,0,0,0,0,7,18,0,18,25,5,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2023,proceedings,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,2023,proceedings-article,78,78,0,0,38,0,38,78,37,78,78,0,0,38,78,0,78,0,38,0,38,78,37,78,78,0,0,38,78,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2023,reference-book,10,10,0,0,0,0,0,1,0,1,1,1,0,0,3,3,3,0,0,0,0,1,0,1,1,1,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2023,reference-entry,185,185,0,0,0,0,0,0,0,0,0,0,0,0,185,0,185,0,0,0,0,0,0,0,0,0,0,0,185,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2023,report,31,31,0,22,6,0,6,29,5,29,29,0,0,3,0,0,0,22,6,0,6,29,5,29,29,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
