,published_year,type,num_objects,num_dois,num_non_dois,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_id_countrycode,objects_has_affiliations_id_ror,objects_has_affiliations_id_source,objects_has_affiliations_string,objects_has_authors,objects_has_authors_id_orcid,objects_has_authors_id_source,objects_has_authors_sequence,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_funders,objects_has_funders_id_source,objects_has_funders_string,objects_has_references,objects_has_venue,objects_has_venue_id_issn,objects_has_venue_id_issnl,objects_has_venue_id_source,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_id_countrycode,dois_has_affiliations_id_ror,dois_has_affiliations_id_source,dois_has_affiliations_string,dois_has_authors,dois_has_authors_id_orcid,dois_has_authors_id_source,dois_has_authors_sequence,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_funders,dois_has_funders_id_source,dois_has_funders_string,dois_has_references,dois_has_venue,dois_has_venue_id_issn,dois_has_venue_id_issnl,dois_has_venue_id_source,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_id_countrycode,non_dois_has_affiliations_id_ror,non_dois_has_affiliations_id_source,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_id_orcid,non_dois_has_authors_id_source,non_dois_has_authors_sequence,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_funders,non_dois_has_funders_id_source,non_dois_has_funders_string,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_id_issn,non_dois_has_venue_id_issnl,non_dois_has_venue_id_source,non_dois_has_venue_string
51,2022,editorial,13169,13144,25,8554,9403,9403,9403,9403,9403,12533,10064,12533,12533,12533,2102,13162,115,115,115,5455,12787,12355,12355,12787,12787,8552,9387,9387,9387,9387,9387,12508,10048,12508,12508,12508,2102,13137,115,115,115,5454,12763,12355,12355,12763,12763,2,16,16,16,16,16,25,16,25,25,25,0,25,0,0,0,1,24,0,0,24,24
52,2022,erratum,4493,4433,60,2045,1920,1920,1920,1920,1920,2615,2162,2615,2615,2615,322,4493,61,61,61,823,4467,4243,4243,4467,4467,2007,1886,1886,1886,1886,1886,2577,2129,2577,2577,2577,320,4433,61,61,61,821,4407,4241,4241,4407,4407,38,34,34,34,34,34,38,33,38,38,38,2,60,0,0,0,2,60,2,2,60,60
53,2022,grant,2415,2415,0,116,0,0,0,0,0,0,0,0,0,0,3,2410,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,3,2410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2022,journal-article,34,34,0,22,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,7,32,31,31,32,32,22,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,7,32,31,31,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2022,journal-issue,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2022,journal-volume,1824,1806,18,148,0,0,0,0,0,1,0,1,1,1,9,1823,0,0,0,0,1643,1567,1567,1643,1643,144,0,0,0,0,0,1,0,1,1,1,9,1805,0,0,0,0,1628,1552,1552,1628,1628,4,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,15,15,15,15,15
57,2022,letter,1938,1921,17,949,1534,1534,1534,1534,1534,1805,1617,1805,1805,1805,434,1938,67,67,67,1557,1919,1809,1809,1919,1919,946,1523,1523,1523,1523,1523,1788,1606,1788,1788,1788,433,1921,67,67,67,1555,1902,1807,1807,1902,1902,3,11,11,11,11,11,17,11,17,17,17,1,17,0,0,0,2,17,2,2,17,17
58,2022,other,67065,61170,5895,28440,10863,10863,10863,10863,10863,27491,13872,27491,27491,27491,2208,66982,1,1,1,15456,18840,9381,9381,18840,18840,28375,7046,7046,7046,7046,7046,21842,12116,21842,21842,21842,2200,61128,1,1,1,15451,13295,9373,9373,13295,13295,65,3817,3817,3817,3817,3817,5649,1756,5649,5649,5649,8,5854,0,0,0,5,5545,8,8,5545,5545
59,2022,paratext,172890,170757,2133,25567,9121,9121,9121,9121,9121,21585,8936,21585,21585,21585,2319,172575,4,4,4,313,150540,106482,106482,150540,150540,25476,7986,7986,7986,7986,7986,19543,7293,19543,19543,19543,2315,170489,4,4,4,307,148420,106390,106390,148420,148420,91,1135,1135,1135,1135,1135,2042,1643,2042,2042,2042,4,2086,0,0,0,6,2120,92,92,2120,2120
60,2022,peer-review,96870,96870,0,24281,15974,15974,15974,15974,15974,42623,34130,42623,42623,42623,234,96421,0,0,0,0,665,0,0,665,665,24281,15974,15974,15974,15974,15974,42623,34130,42623,42623,42623,234,96421,0,0,0,0,665,0,0,665,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
