id,primary_name,prefix,name,public_references,collection_date
186,Society of Exploration Geophysicists,10.4133,Environmental and Engineering Geophysical Society,True,2021-12-31 18:26:46.007492
187,Society of Rheology,10.1122,Society of Rheology,False,2021-12-31 18:26:46.007492
189,SPIE-Intl Soc Optical Eng,10.1117,SPIE - International Society for Optical Engineering,True,2021-12-31 18:26:46.007492
191,Swets & Zeitlinger Publishers,10.1076,Informa UK (Swets & Zeitlinger Publishers),True,2021-12-31 18:26:46.007492
192,Techno-Press,10.1296,,False,2021-12-31 18:26:46.007492
194,Georg Thieme Verlag KG,10.15654,10.15654 (Tierarztl Prax Ausg K Kleintiere Heimtiere),True,2021-12-31 18:26:46.007492
194,Georg Thieme Verlag KG,10.15653,10.15653 (Tierarztl Prax Ausg G Grosstiere Nutztiere),True,2021-12-31 18:26:46.007492
194,Georg Thieme Verlag KG,10.1160,Thieme,True,2021-12-31 18:26:46.007492
194,Georg Thieme Verlag KG,10.3413,Thieme (NuklearMedizin/NuclearMedicine),True,2021-12-31 18:26:46.007492
194,Georg Thieme Verlag KG,10.3414,Thieme (Methods of Information in Medicine),True,2021-12-31 18:26:46.007492
194,Georg Thieme Verlag KG,10.3415,Thieme (Veterinary and Comparative Orthopaedics and Traumatology),True,2021-12-31 18:26:46.007492
194,Georg Thieme Verlag KG,10.1055,Georg Thieme Verlag KG,True,2021-12-31 18:26:46.007492
194,Georg Thieme Verlag KG,10.5482,Thieme (Hamostaseologie),True,2021-12-31 18:26:46.007492
194,Georg Thieme Verlag KG,10.12687,Thieme (Phlebologie),True,2021-12-31 18:26:46.007492
194,Georg Thieme Verlag KG,10.4338,Thieme (Applied Clinical Informatics),True,2021-12-31 18:26:46.007492
194,Georg Thieme Verlag KG,10.15265,Thieme GmbH (IMIA Yearbook of Medical Informatics),True,2021-12-31 18:26:46.007492
200,University of Chicago Press,10.5950,The MRE Foundation,False,2021-12-31 18:26:46.007492
200,University of Chicago Press,10.1086,The University of Chicago Press,False,2021-12-31 18:26:46.007492
200,University of Chicago Press,10.7208,University of Chicago Press,False,2021-12-31 18:26:46.007492
204,Uitgeverij Boom,10.1347,Uitgeverij Boom,False,2021-12-31 18:26:46.007492
208,Universite du Quebec a Chicoutimi,10.1522,Universite du Quebec a Chicoutimi,False,2021-12-31 18:26:46.007492
217,College Literature (Project Muse),10.1372,Muse - College Literature,False,2021-12-31 18:26:46.007492
219,World Scientific Pub Co Pte Ltd,10.1142,World Scientific ,True,2021-12-31 18:26:46.007492
221,American Association for the Advancement of Science (AAAS),10.1126,American Association for the Advancement of Science (AAAS),True,2021-12-31 18:26:46.007492
221,American Association for the Advancement of Science (AAAS),10.34133,AAAS00,True,2021-12-31 18:26:46.007492
