,id,primary_name,prefix,name,public_references,collection_date
422,281,MIT Press - Journals,10.7551,MIT Press,True,20211223
424,282,Multi-Science Publishing Co. Ltd.,10.1260,Multiscience,False,20211223
426,283,NIDA/RTI International,10.1151,NIDA/RTI International,False,20211223
428,285,The Optical Society,10.1364,The Optical Society,True,20211223
430,286,Oxford University Press (OUP),10.1534,The Genetics Society of America,True,20211223
431,286,Oxford University Press (OUP),10.1093,Oxford University Press,True,20211223
432,286,Oxford University Press (OUP),10.5740,The Journal of AOAC International,False,20211223
434,286,Oxford University Press (OUP),10.2146,American Society of Health System Pharmacists,False,20211223
435,288,Portland Press Ltd.,10.1042,Portland Press,True,20211223
437,290,The Society of Protozoologists,10.1368,BioOne (Society of Protozoologists),False,20211223
439,291,Rockefeller University Press,10.47673,MacroMolecule Wiki,True,20211223
440,291,Rockefeller University Press,10.1083,The Rockefeller University Press,True,20211223
441,291,Rockefeller University Press,10.1085,The Rockefeller University Press,True,20211223
442,291,Rockefeller University Press,10.1084,The Rockefeller University Press,True,20211223
444,292,Royal Society of Chemistry (RSC),10.1039,The Royal Society of Chemistry,True,20211223
446,294,"Science China Press., Co. Ltd.",10.1360,Science in China Press,False,20211223
448,296,Society for In Vitro Biology,10.1290,BioOne (Society for In Vitro Biology),False,20211223
450,297,Springer Science and Business Media LLC,10.33283,Springer Science and Business Media LLC,True,20211223
451,297,Springer Science and Business Media LLC,10.1617,Springer - RILEM Publishing,True,20211223
452,297,Springer Science and Business Media LLC,10.1557,Materials Research Society,True,20211223
453,297,Springer Science and Business Media LLC,10.1245,Springer - Society of Surgical Oncology,True,20211223
454,297,Springer Science and Business Media LLC,10.1251,Springer (Biological Procedures Online),True,20211223
455,297,Springer Science and Business Media LLC,10.3858,Springer Science and Business Media LLC,True,20211223
456,297,Springer Science and Business Media LLC,10.1208,American Association of Pharmaceutical Scientists,True,20211223
457,297,Springer Science and Business Media LLC,10.1114,Springer (Kluwer Academic Publishers - Biomedical Engineering Society (BMES)),True,20211223
458,297,Springer Science and Business Media LLC,10.3758,Springer - Psychonomic Society,True,20211223
459,297,Springer Science and Business Media LLC,10.1186,Springer (Biomed Central Ltd.),True,20211223
460,297,Springer Science and Business Media LLC,10.1140,Springer-Verlag,True,20211223
461,297,Springer Science and Business Media LLC,10.1361,Springer - ASM International,True,20211223
462,297,Springer Science and Business Media LLC,10.1379,Springer - Cell Stress Society International,True,20211223
463,297,Springer Science and Business Media LLC,10.1381,Springer - FD Communications,True,20211223
464,297,Springer Science and Business Media LLC,10.1385,Springer - Humana Press,True,20211223
465,297,Springer Science and Business Media LLC,10.1007,Springer-Verlag,True,20211223
466,297,Springer Science and Business Media LLC,10.1013,Springer Science and Business Media LLC,True,20211223
467,297,Springer Science and Business Media LLC,10.1065,Springer - Ecomed Publishers,True,20211223
468,297,Springer Science and Business Media LLC,10.1023,Springer (Kluwer Academic Publishers),True,20211223
469,297,Springer Science and Business Media LLC,10.1038,Springer Science and Business Media LLC,True,20211223
470,297,Springer Science and Business Media LLC,10.1057,Springer Science and Business Media LLC,True,20211223
471,297,Springer Science and Business Media LLC,10.5819,Springer - (backfiles),True,20211223
472,297,Springer Science and Business Media LLC,10.5052,"Springer - Real Academia de Ciencias Exactas, Fisicas y Naturales",True,20211223
473,297,Springer Science and Business Media LLC,10.26778,SpringerNature,True,20211223
474,297,Springer Science and Business Media LLC,10.26777,SpringerNature,True,20211223
475,297,Springer Science and Business Media LLC,10.7603,Springer - Global Science Journals,True,20211223
476,297,Springer Science and Business Media LLC,10.7123,Springer Science and Business Media LLC,True,20211223
478,297,Springer Science and Business Media LLC,10.2165,Springer - Adis,True,20211223
479,297,Springer Science and Business Media LLC,10.19150,"Society for Mining, Metallurgy & Exploration Inc.",True,20211223
480,297,Springer Science and Business Media LLC,10.4333,Springer - The Korean Society of Pharmaceutical Sciences and Technology,True,20211223
481,297,Springer Science and Business Media LLC,10.4056,Genomic Standards Consortium,True,20211223
