,published_year,type,num_objects,num_dois,num_non_dois,objects_has_type,dois_has_type,non_dois_has_type,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_countrycode,objects_has_affiliations_ror,objects_has_affiliations_sourceid,objects_has_affiliations_string,objects_has_authors,objects_has_authors_orcid,objects_has_authors_sequence,objects_has_authors_sourceid,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_fields_mag,objects_has_references,objects_has_venue,objects_has_venue_issn,objects_has_venue_issnl,objects_has_venue_sourceid,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_countrycode,dois_has_affiliations_ror,dois_has_affiliations_sourceid,dois_has_affiliations_string,dois_has_authors,dois_has_authors_orcid,dois_has_authors_sequence,dois_has_authors_sourceid,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_fields_mag,dois_has_references,dois_has_venue,dois_has_venue_issn,dois_has_venue_issnl,dois_has_venue_sourceid,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_countrycode,non_dois_has_affiliations_ror,non_dois_has_affiliations_sourceid,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_orcid,non_dois_has_authors_sequence,non_dois_has_authors_sourceid,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_fields_mag,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_issn,non_dois_has_venue_issnl,non_dois_has_venue_sourceid,non_dois_has_venue_string
50,2021.0,journal,4062,4006,56,4062,4006,56,165,65,48,48,48,65,119,41,119,119,119,20,3351,3351,17,599,589,594,599,679,126,30,20,20,20,30,63,23,63,63,63,14,3299,3299,14,589,581,586,589,624,39,35,28,28,28,35,56,18,56,56,56,6,52,52,3,10,8,8,10,55
51,2021.0,journal-article,4859438,4657170,202268,4859438,4657170,202268,3387868,3596800,3175811,3131470,3180637,3596800,4810769,3303475,4811648,4811648,4810769,1412276,4532040,4532040,3164404,3777743,3401237,3519736,3777743,4734191,3279949,3527689,3124462,3081534,3129119,3527689,4609009,3223691,4609879,4609879,4609009,1401205,4357652,4357652,3135932,3583917,3313281,3365639,3583917,4536332,107919,69111,51349,49936,51518,69111,201760,79784,201769,201769,201760,11071,174388,174388,28472,193826,87956,154097,193826,197859
52,2021.0,journal-issue,1232,1143,89,1232,1143,89,669,381,269,259,269,381,920,230,920,920,920,38,1013,1013,99,329,257,263,329,977,652,332,228,221,228,332,831,195,831,831,831,35,940,940,58,274,202,208,274,895,17,49,41,38,41,49,89,35,89,89,89,3,73,73,41,55,55,55,55,82
53,2021.0,journal-volume,2,2,0,2,2,0,1,1,1,1,1,1,2,1,2,2,2,1,2,2,0,0,0,0,0,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2021.0,monograph,12882,12015,867,12882,12015,867,2898,1346,976,959,976,1346,12230,2059,12347,12347,12230,933,11954,11954,602,264,23,37,264,1354,2786,1255,925,909,925,1255,11363,1911,11480,11480,11363,872,11135,11135,576,260,23,37,260,1324,112,91,51,50,51,91,867,148,867,867,867,61,819,819,26,4,0,0,4,30
55,2021.0,other,18726,18349,377,18726,18349,377,1921,5535,4654,4475,4675,5535,12217,5249,12225,12225,12217,1001,16666,16666,7521,1026,664,780,1026,10488,1901,5173,4494,4334,4514,5173,11849,5246,11857,11857,11849,1000,16310,16310,7517,1010,664,764,1010,10468,20,362,160,141,161,362,368,3,368,368,368,1,356,356,4,16,0,16,16,20
56,2021.0,peer-review,28717,28717,0,28717,28717,0,1003,3187,3020,2951,3028,3187,19378,6538,19378,19378,19378,143,22486,22486,11,4517,4516,4516,4517,5091,1003,3187,3020,2951,3028,3187,19378,6538,19378,19378,19378,143,22486,22486,11,4517,4516,4516,4517,5091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2021.0,posted-content,343778,155748,188030,343778,155748,188030,273952,166572,157789,156367,157956,166572,343526,256285,343569,343569,343526,53495,314944,314944,200451,242237,8896,10556,242237,269245,90747,76038,72547,71987,72610,76038,155503,125370,155546,155546,155503,18905,147027,147027,66847,65816,8482,9236,65816,84037,183205,90534,85242,84380,85346,90534,188023,130915,188023,188023,188023,34590,167917,167917,133604,176421,414,1320,176421,185208
58,2021.0,proceedings,1296,1249,47,1296,1249,47,36,132,113,109,113,132,226,56,226,226,226,11,1275,1275,5,4,1,1,4,82,36,113,97,93,97,113,179,31,179,179,179,4,1229,1229,3,4,1,1,4,47,0,19,16,16,16,19,47,25,47,47,47,7,46,46,2,0,0,0,0,35
59,2021.0,proceedings-article,330791,310481,20310,330791,310481,20310,205653,243533,211650,205648,212327,243533,327721,160606,327725,327725,327721,31380,304265,304265,156357,16919,14188,14364,16919,294028,192717,224691,194391,188594,195026,224691,307412,147256,307416,307416,307412,26351,288588,288588,149197,16900,14188,14364,16900,275355,12936,18842,17259,17054,17301,18842,20309,13350,20309,20309,20309,5029,15677,15677,7160,19,0,0,19,18673
