,published_year,type,num_dois,num_objects,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_countrycode,objects_has_affiliations_grid,objects_has_affiliations_sourceid,objects_has_affiliations_string,objects_has_authors,objects_has_authors_sequence,objects_has_authors_sourceid,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_fields_mag,objects_has_references,objects_has_venue,objects_has_venue_issn,objects_has_venue_sourceid,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_countrycode,dois_has_affiliations_grid,dois_has_affiliations_sourceid,dois_has_affiliations_string,dois_has_authors,dois_has_authors_sequence,dois_has_authors_sourceid,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_fields_mag,dois_has_references,dois_has_venue,dois_has_venue_issn,dois_has_venue_sourceid,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_countrycode,non_dois_has_affiliations_grid,non_dois_has_affiliations_sourceid,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_sequence,non_dois_has_authors_sourceid,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_fields_mag,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_issn,non_dois_has_venue_sourceid,non_dois_has_venue_string
52,2017.0,Repository,82336,230666,219346,118603,112521,109484,113039,118603,230666,230666,230666,230666,84535,222194,222194,113324,203800,5417,203800,203800,78783,62584,58856,57524,59054,62584,82336,82336,82336,82336,35518,81212,81212,52231,77472,981,77472,77472,140563,56019,53665,51960,53985,56019,148330,148330,148330,148330,49017,140982,140982,61093,126328,4436,126328,126328
53,2017.0,Thesis,23341,477824,264344,10335,1496,1297,1513,10335,477824,477824,477824,477824,25419,244278,244278,24040,0,0,0,0,9232,252,130,121,132,252,23341,23341,23341,23341,3172,18325,18325,2389,0,0,0,0,255112,10083,1366,1176,1381,10083,454483,454483,454483,454483,22247,225953,225953,21651,0,0,0,0
54,2016.0,,1084562,4685255,1768338,920926,537425,512487,543563,920926,4685255,4685255,4685255,4685255,485312,2652156,2652156,603536,0,0,0,0,569254,496129,333364,318721,336341,496129,1084562,1084562,1084562,1084562,297465,773111,773111,362246,0,0,0,0,1199084,424797,204061,193766,207222,424797,3600693,3600693,3600693,3600693,187847,1879045,1879045,241290,0,0,0,0
55,2016.0,Book,21966,95466,30280,9159,5195,4970,5207,9159,95466,95466,95466,95466,37308,62736,62736,4096,0,0,0,0,4577,2207,1366,1310,1368,2207,21966,21966,21966,21966,12902,14507,14507,1314,0,0,0,0,25703,6952,3829,3660,3839,6952,73500,73500,73500,73500,24406,48229,48229,2782,0,0,0,0
56,2016.0,BookChapter,168697,189817,30951,23462,19414,18763,19483,23462,189817,189817,189817,189817,32572,115155,115155,37292,0,0,0,0,24833,22159,18778,18143,18847,22159,168697,168697,168697,168697,29872,103669,103669,36171,0,0,0,0,6118,1303,636,620,636,1303,21120,21120,21120,21120,2700,11486,11486,1121,0,0,0,0
57,2016.0,Conference,237284,258470,239417,220385,226876,218281,228698,220385,258470,258470,258470,258470,180150,254501,254501,229101,0,0,0,0,226235,209943,209361,201319,211065,209943,237284,237284,237284,237284,168450,234904,234904,218894,0,0,0,0,13182,10442,17515,16962,17633,10442,21186,21186,21186,21186,11700,19597,19597,10207,0,0,0,0
58,2016.0,Dataset,4854,9758,4188,43,32,28,32,43,5730,5730,5730,5730,631,8875,8875,24,0,0,0,0,1293,35,29,27,29,35,4854,4854,4854,4854,396,4612,4612,11,0,0,0,0,2895,8,3,1,3,8,876,876,876,876,235,4263,4263,13,0,0,0,0
59,2016.0,Journal,2745426,3260169,2398299,2358957,2077373,2030321,2089151,2358957,3260169,3260169,3260169,3260169,2100143,3039691,3039691,2053911,3260169,2936311,3260169,3260169,2173128,2204843,1971554,1929168,1982448,2204843,2745426,2745426,2745426,2745426,1997166,2631172,2631172,1993522,2745426,2544635,2745426,2745426,225171,154114,105819,101153,106703,154114,514743,514743,514743,514743,102977,408519,408519,60389,514743,391676,514743,514743
60,2016.0,Patent,204,2687652,2542870,277308,142010,124833,144230,277308,2687652,2687652,2687652,2687652,1206333,2467009,2467009,1212697,148,135,148,148,184,171,151,147,152,171,204,204,204,204,165,183,183,176,137,134,137,137,2542686,277137,141859,124686,144078,277137,2687448,2687448,2687448,2687448,1206168,2466826,2466826,1212521,11,1,11,11
61,2016.0,Repository,87677,247556,234069,127076,117712,114178,118292,127076,247556,247556,247556,247556,83281,236105,236105,124818,217666,22280,217666,217666,83200,69667,64348,62770,64595,69667,87677,87677,87677,87677,33628,86933,86933,63417,84034,15242,84034,84034,150869,57409,53364,51408,53697,57409,159879,159879,159879,159879,49653,149172,149172,61401,133632,7038,133632,133632
62,2016.0,Thesis,19468,460932,250896,10362,1591,1422,1627,10362,460932,460932,460932,460932,29535,238644,238644,27777,0,0,0,0,5478,253,143,135,143,253,19468,19468,19468,19468,3041,14085,14085,2290,0,0,0,0,245418,10109,1448,1287,1484,10109,441464,441464,441464,441464,26494,224559,224559,25487,0,0,0,0
63,2015.0,,907197,4544141,1963289,895985,535220,511225,541389,895985,4544141,4544141,4544141,4544141,491047,2557943,2557943,679709,0,0,0,0,511217,437632,294412,281630,297257,437632,907197,907197,907197,907197,262321,651016,651016,338850,0,0,0,0,1452072,458353,240808,229595,244132,458353,3636944,3636944,3636944,3636944,228726,1906927,1906927,340859,0,0,0,0
64,2015.0,Book,20947,101007,37554,9444,5439,5130,5455,9444,101007,101007,101007,101007,40400,66703,66703,5243,0,0,0,0,5449,2311,1499,1428,1503,2311,20947,20947,20947,20947,12778,13933,13933,1453,0,0,0,0,32105,7133,3940,3702,3952,7133,80060,80060,80060,80060,27622,52770,52770,3790,0,0,0,0
65,2015.0,BookChapter,177307,199420,29770,22865,18796,18213,18857,22865,199420,199420,199420,199420,33268,117527,117527,36564,0,0,0,0,23419,21384,18062,17509,18122,21384,177307,177307,177307,177307,29884,105279,105279,35117,0,0,0,0,6351,1481,734,704,735,1481,22113,22113,22113,22113,3384,12248,12248,1447,0,0,0,0
66,2015.0,Conference,231251,249746,237109,225497,217566,209352,219340,225497,249746,249746,249746,249746,175224,246124,246124,224743,0,0,0,0,224006,214064,202439,194688,204113,214064,231251,231251,231251,231251,165324,228840,228840,213964,0,0,0,0,13103,11433,15127,14664,15227,11433,18495,18495,18495,18495,9900,17284,17284,10779,0,0,0,0
67,2015.0,Dataset,4680,8893,3447,29,22,22,22,29,5991,5991,5991,5991,483,7349,7349,154,0,0,0,0,857,23,17,17,17,23,4680,4680,4680,4680,310,3966,3966,125,0,0,0,0,2590,6,5,5,5,6,1311,1311,1311,1311,173,3383,3383,29,0,0,0,0
